ticker symbol,correlation coefficient,time shift
GALA-USD,-0.9673212376,5
WBTC-USD,0.7271001283,0
BTCB-USD,0.6911875657,0
GALA-USD,-0.5208784101,6
OSMO-USD,0.4739665314,0
MIOTA-USD,0.4698313085,0
NEO-USD,0.4503543251,0
ADA-USD,0.4301698719,0
FTT-USD,0.4289947535,0
MINA-USD,0.4132536259,0
BCH-USD,0.4132428397,0
ETH-USD,0.4109922952,0
GALA-USD,0.4067709924,3
XMR-USD,0.400124269,0
DFI-USD,0.3949803177,0
MINA-USD,-0.3925260944,1
CRO-USD,0.3900513683,0
OSMO-USD,0.3815378617,5
EOS-USD,0.3726208993,0
LUNA1-USD,0.351110493,0
DASH-USD,0.3509032477,0
FLOW-USD,-0.3498762223,3
HT-USD,0.3445144154,0
MKR-USD,0.3421416038,0
XLM-USD,0.3419965237,0
WBTC-USD,-0.3399464343,1
AMP-USD,0.3315572853,2
VET-USD,0.3303326527,0
STETH-USD,0.3296965518,0
TONCOIN-USD,-0.3283811156,1
XRP-USD,0.3201650345,0
ZEC-USD,0.3142587114,0
GRT1-USD,0.312559646,0
BSV-USD,0.3039238993,0
BNB-USD,0.3007166646,0
UNI1-USD,0.2978737245,0
WBNB-USD,0.2969706611,0
ETC-USD,0.2967249885,0
FLOW-USD,0.2963466665,0
THETA-USD,0.2958878534,0
LRC-USD,0.2919802133,0
BTCB-USD,-0.2885200581,1
NEAR-USD,0.2805115652,6
STETH-USD,0.2779390653,6
XEM-USD,0.2774610104,0
ENJ-USD,0.2700881401,0
CAKE-USD,0.2633290412,0
XMR-USD,-0.2543175478,1
CCXX-USD,-0.2527645656,6
NEXO-USD,0.247779488,0
RUNE-USD,-0.2467895892,1
KDA-USD,0.244188909,0
AAVE-USD,-0.2417442034,1
XTZ-USD,0.23849243,0
FLOW-USD,0.2357055949,4
MANA-USD,0.2354198677,0
BAT-USD,0.2345087997,0
MATIC-USD,0.2337933184,0
XLM-USD,-0.2283176153,1
DOT-USD,0.2232278228,0
GALA-USD,0.2227628725,0
CHZ-USD,0.2206349562,0
OSMO-USD,-0.2200899942,2
CRV-USD,-0.2180942882,1
LINK-USD,0.2157393121,0
NEAR-USD,-0.2154437753,3
EGLD-USD,0.2120224614,2
LUNA1-USD,-0.2098441856,1
DFI-USD,-0.2096680461,3
GALA-USD,-0.2062772961,4
FLOW-USD,0.2061841835,2
STETH-USD,-0.2043411277,5
BSV-USD,-0.2009928759,1
CRV-USD,0.1998179889,0
FIL-USD,0.1961286693,0
MATIC-USD,-0.196082479,1
MINA-USD,0.1928255282,2
GRT1-USD,0.192770318,6
BNB-USD,-0.19154979,1
ATOM-USD,0.1892326134,0
WAVES-USD,0.1891713233,0
KDA-USD,-0.1880191701,5
EGLD-USD,0.1866384083,0
FRAX-USD,-0.1858100831,0
SCRT-USD,0.1853980668,0
SAND-USD,0.1839657075,0
FIL-USD,-0.1831221704,1
GRT1-USD,-0.1812630684,5
UNI1-USD,-0.1805220701,1
AR-USD,0.1787048507,4
EGLD-USD,-0.1751188845,3
ROSE-USD,0.1732921186,5
AR-USD,0.1709778151,0
DFI-USD,-0.17037894,1
OSMO-USD,0.1697168757,1
HT-USD,-0.1690351455,1
VET-USD,-0.1686690239,1
RUNE-USD,0.1685682771,4
CRV-USD,0.1677325746,2
KSM-USD,-0.1674187126,3
GALA-USD,-0.1674008795,1
AMP-USD,-0.1673113103,5
CVX-USD,0.165576944,0
TONCOIN-USD,0.1654575944,2
NEO-USD,-0.1648678429,1
MATIC-USD,-0.1636995441,6
FTT-USD,-0.1624800962,1
EGLD-USD,-0.1607926088,1
QNT-USD,0.1604065326,0
AMP-USD,-0.157848453,1
AR-USD,-0.157483642,5
CAKE-USD,0.1553127493,3
FLOW-USD,-0.1551307671,5
MIOTA-USD,-0.1540766575,1
OKB-USD,0.1535824716,0
ALGO-USD,0.1528449389,0
STETH-USD,-0.1527071459,4
AXS-USD,0.1517827774,0
CELO-USD,0.1513852471,5
WBNB-USD,0.1513730375,3
KDA-USD,-0.1496481948,1
HNT-USD,0.1495888144,6
DAI-USD,0.1485508749,0
CRO-USD,-0.1483492217,3
DAI-USD,0.1482482017,4
KSM-USD,0.1448109824,0
OKB-USD,-0.1442229934,1
CRO-USD,-0.1433924081,1
AMP-USD,-0.1425121777,6
UNI1-USD,0.1421430123,2
MKR-USD,-0.1418799031,1
DFI-USD,0.141485163,4
XRP-USD,0.1414177374,4
XRP-USD,-0.1412439349,1
SCRT-USD,0.1404740885,2
ROSE-USD,0.1395659547,0
ADA-USD,-0.1386137154,1
CCXX-USD,-0.1382813479,3
CVX-USD,0.1380082081,6
TONCOIN-USD,-0.137172089,5
DOT-USD,0.1363006929,6
KCS-USD,-0.1361786429,1
FRAX-USD,-0.1360091699,6
ETH-USD,-0.1357666461,1
USDP-USD,0.1350428124,3
EOS-USD,-0.1330321001,1
USDC-USD,0.1322709049,5
OSMO-USD,-0.1320897704,4
KSM-USD,0.1320682298,4
CRO-USD,0.1316940162,4
AAVE-USD,0.1310582337,0
MANA-USD,-0.1309682549,1
THETA-USD,0.1306530802,4
AMP-USD,-0.1300473191,3
GRT1-USD,-0.1293799001,1
AVAX-USD,0.1285234655,5
AR-USD,0.1279231276,6
STX-USD,0.126157127,0
AXS-USD,-0.1253237036,4
WBNB-USD,-0.125075313,1
KLAY-USD,0.1249935178,0
KCS-USD,0.1249269354,5
HNT-USD,-0.1248248397,5
DFI-USD,0.1248083522,2
NEAR-USD,0.1241284095,0
MKR-USD,0.1231234334,5
CELO-USD,-0.1224209345,2
DASH-USD,-0.1215567194,1
CVX-USD,-0.1214093754,1
AXS-USD,0.1213724066,5
TUSD-USD,0.1213149604,3
USDC-USD,0.120497933,0
NEAR-USD,0.1199699975,2
XTZ-USD,0.1192296827,4
MINA-USD,0.1189867245,4
KSM-USD,0.1180376925,2
BCH-USD,-0.117980892,3
BTCB-USD,0.1175321881,4
BSV-USD,0.1165587634,6
FTT-USD,-0.116043005,6
DOT-USD,0.1146388086,1
SCRT-USD,-0.1144135626,4
DAI-USD,0.1142816099,6
ATOM-USD,-0.1141422968,2
EGLD-USD,-0.113311001,5
SPA-USD,0.113152984,0
CAKE-USD,-0.1131119557,2
XTZ-USD,-0.1130427449,1
CAKE-USD,-0.1128466271,1
SCRT-USD,-0.1119577937,1
XRP-USD,-0.1099750977,2
MANA-USD,-0.1098541355,3
DAI-USD,-0.1098297711,5
MKR-USD,-0.1094183537,4
NEAR-USD,-0.1073684071,1
USDP-USD,0.1069955317,5
AVAX-USD,-0.1065582088,3
AR-USD,0.1052094913,2
DAI-USD,-0.1049106422,1
FIL-USD,0.1049059256,4
MINA-USD,-0.1046217884,6
SPA-USD,0.1044783433,5
THETA-USD,-0.1035131494,3
ETC-USD,-0.1026509581,2
RUNE-USD,-0.1022345719,5
ADA-USD,-0.1020505378,6
USDP-USD,0.1018814047,0
WBTC-USD,-0.1018665632,6
FRAX-USD,0.1000171253,1
TUSD-USD,0.09990716851,0
YOUC-USD,-0.09963332339,2
SAND-USD,-0.09958187867,5
BCH-USD,-0.09883518,2
GALA-USD,-0.09816599787,2
NEXO-USD,-0.0969241011,1
HT-USD,0.0966055436,6
SPA-USD,-0.09659186497,6
AVAX-USD,0.09587328273,1
ZEC-USD,0.09575596124,4
BSV-USD,-0.09560076232,4
LINK-USD,0.09520216527,6
CELO-USD,-0.094380977,4
OSMO-USD,-0.09371513659,6
FIL-USD,0.09350853262,2
AMP-USD,0.09347305095,0
LINK-USD,-0.09284810522,1
ETH-USD,-0.09196790931,3
HNT-USD,0.09168363266,2
BAT-USD,0.09096881039,5
ALGO-USD,-0.09088434464,3
WBTC-USD,-0.09055320836,3
AVAX-USD,0.09033996155,0
ADA-USD,-0.09012943512,2
LEO-USD,-0.08961162407,1
ROSE-USD,-0.0893297935,3
LEO-USD,0.08897714432,0
ZEC-USD,-0.08883143993,1
XTZ-USD,-0.08846609548,3
CCXX-USD,0.08844242413,0
TUSD-USD,-0.08829508607,1
UNI1-USD,-0.08785222513,5
ETC-USD,-0.08773619083,1
NEXO-USD,0.08752863057,3
UNI1-USD,-0.08683307908,3
XEM-USD,-0.08594403771,1
AXS-USD,0.08486912636,3
THETA-USD,-0.08391102692,5
CVX-USD,-0.08381635326,2
KLAY-USD,-0.08378899962,1
KSM-USD,-0.08328541957,1
SPA-USD,-0.08307970206,4
HBAR-USD,-0.08288409719,2
BSV-USD,0.08271596031,3
XMR-USD,0.08227374041,2
DAI-USD,-0.0810845686,2
USDP-USD,-0.08106930217,2
MANA-USD,0.08067427842,4
KLAY-USD,-0.08064164878,5
HT-USD,-0.08035002265,5
USDP-USD,-0.08029773134,1
VET-USD,0.07962848615,5
WBNB-USD,0.07915981639,2
KSM-USD,-0.07910417636,5
USDP-USD,0.07891792623,6
CRO-USD,-0.07883036691,5
AAVE-USD,0.07835059646,2
CRV-USD,0.07819424372,6
LRC-USD,-0.07816661663,1
QNT-USD,-0.07784991007,1
CCXX-USD,-0.0776165441,1
MIOTA-USD,0.07686110634,3
LTC-USD,0.07603682095,3
KLAY-USD,0.07508265248,6
BCH-USD,0.07428622044,4
QNT-USD,0.0732509976,6
NEAR-USD,-0.07260599186,5
DASH-USD,-0.07252987618,3
FLOW-USD,-0.07148197743,1
BCH-USD,-0.07144269955,1
TUSD-USD,-0.07137903271,4
FRAX-USD,0.07119105568,3
STX-USD,-0.07100594512,3
MIOTA-USD,-0.07078572031,2
BNB-USD,0.07070474681,4
WBNB-USD,-0.06876051614,5
XEM-USD,0.06841583677,6
MKR-USD,-0.06826012738,2
LRC-USD,-0.0681521217,4
ROSE-USD,-0.06777394679,6
USDC-USD,-0.06688530169,4
LRC-USD,-0.06665734527,2
BSV-USD,0.06608559482,5
THETA-USD,0.06607431088,6
BAT-USD,-0.06602203792,1
USDC-USD,-0.06571865231,3
WAVES-USD,-0.06512564211,1
DOT-USD,-0.06413116406,2
MANA-USD,0.06394470093,2
AAVE-USD,-0.06392665717,3
LRC-USD,-0.06382664326,6
HNT-USD,-0.06330412952,3
USDP-USD,-0.06319798458,4
DAI-USD,-0.06211719912,3
XLM-USD,0.06123332801,4
USDC-USD,-0.06083820067,1
TONCOIN-USD,-0.06074576473,3
KDA-USD,0.06070254775,2
HT-USD,0.06004869595,4
ENJ-USD,-0.0599792922,2
XMR-USD,-0.05995167723,3
LTC-USD,-0.0597325386,2
ETC-USD,0.05972536688,4
CELO-USD,0.05964364138,1
CCXX-USD,0.05887768667,2
SCRT-USD,0.05857446044,5
QNT-USD,-0.05835586074,4
UNI1-USD,0.05834787243,4
LEO-USD,0.05832337122,6
HBTC-USD,-0.05820311462,5
AVAX-USD,-0.05747564248,6
XRP-USD,-0.05737969006,3
KCS-USD,-0.05717533916,4
FRAX-USD,-0.05698102356,4
AAVE-USD,0.05633159093,4
LUNA1-USD,0.05585824729,3
BTCB-USD,-0.05582724386,3
MIOTA-USD,-0.055659301,6
ATOM-USD,0.05500919163,4
MINA-USD,0.05500376378,5
EOS-USD,-0.0540887409,3
WAVES-USD,-0.05407265183,5
ZEC-USD,-0.05388638497,2
BTCB-USD,-0.05371577777,6
NEAR-USD,0.0531312798,4
FIL-USD,-0.05294784872,3
STX-USD,-0.05229249573,5
QNT-USD,-0.05217043361,3
ADA-USD,0.05213131695,5
UST-USD,0.05199724986,5
XTZ-USD,0.05158044194,5
TUSD-USD,-0.05153307049,6
CCXX-USD,0.05141890031,5
QNT-USD,0.05134342478,5
SOL-USD,0.05116280848,5
LINK-USD,0.05112184736,5
ONE1-USD,0.05105316881,2
ROSE-USD,0.05104870088,4
TONCOIN-USD,-0.05096936478,4
EGLD-USD,0.05094199821,4
CELO-USD,0.05079341877,6
BNB-USD,0.05035353531,2
WBTC-USD,0.05031095275,4
EOS-USD,0.04980633096,5
TUSD-USD,-0.04974522832,5
XRP-USD,-0.04864231112,5
STX-USD,-0.04864171015,2
CRV-USD,0.04810349314,3
XMR-USD,0.04752231616,6
WAVES-USD,0.04747785319,4
CRV-USD,-0.0474075296,5
ZEC-USD,0.04712895624,6
WBNB-USD,-0.04705527907,6
AAVE-USD,-0.04702611714,5
NEO-USD,-0.04647927763,5
THETA-USD,-0.04590956922,1
ROSE-USD,-0.04570204444,2
SCRT-USD,-0.04511297514,6
DOT-USD,-0.04451898939,3
WBTC-USD,-0.04348621113,2
STETH-USD,-0.04342344346,3
ALGO-USD,-0.04302698964,6
UNI1-USD,0.04256071432,6
LINK-USD,-0.04248786236,2
OSMO-USD,-0.04240231661,3
BNB-USD,-0.04222054796,3
GRT1-USD,-0.04176294726,4
SPA-USD,0.04174791742,2
AR-USD,-0.04171248326,3
XMR-USD,0.04151632383,4
BAT-USD,-0.04123460545,6
AVAX-USD,0.04081255482,4
NEO-USD,0.04016874491,4
NEXO-USD,-0.04011334874,2
ALGO-USD,0.0399818131,5
FTM-USD,-0.03983267299,3
CCXX-USD,-0.03923957369,4
MANA-USD,0.0390091502,6
BCH-USD,0.03877623151,6
VET-USD,-0.03821959703,4
DASH-USD,0.0373453462,6
ETC-USD,0.03724903204,3
USDC-USD,-0.03722379371,6
HNT-USD,-0.0369616047,1
BCH-USD,0.03694301811,5
XEM-USD,0.03641839382,2
ETC-USD,-0.03599025211,6
FTT-USD,-0.03583995743,2
MANA-USD,0.03569119165,5
CVX-USD,-0.0356605675,5
TONCOIN-USD,-0.03491908443,0
EOS-USD,-0.03488820922,2
EOS-USD,0.03488282908,4
WAVES-USD,0.03480391697,2
FIL-USD,-0.03471684903,5
SOL-USD,-0.03427509417,1
WAVES-USD,0.03401399804,6
ZEC-USD,-0.03392764159,3
MIOTA-USD,0.03388496023,5
LEO-USD,0.03376950011,3
XLM-USD,-0.03372006077,3
CRO-USD,-0.03359000027,6
CVX-USD,-0.03351055522,4
KDA-USD,-0.03331645548,4
BNB-USD,-0.03319832729,5
ZEC-USD,0.03318147234,5
USDC-USD,0.03288420916,2
DOT-USD,-0.03271646077,4
LRC-USD,0.0325460668,5
LRC-USD,0.03250555589,3
WBTC-USD,0.03217777217,5
ETH-USD,0.03215659829,6
CRO-USD,0.03184396047,2
ADA-USD,0.03182603923,4
CAKE-USD,0.03165781908,5
ATOM-USD,0.03104713574,6
ETH-USD,0.03082260437,4
CRV-USD,-0.03059224253,4
FTM-USD,-0.03047701741,4
ENJ-USD,-0.03033796241,5
KSM-USD,0.03020617815,6
CELO-USD,0.02992891542,0
ENJ-USD,0.02956632545,6
KLAY-USD,0.02939969626,4
SOL-USD,-0.02850744083,4
XTZ-USD,0.02842278263,2
EOS-USD,0.02811522558,6
AAVE-USD,-0.02784233275,6
DASH-USD,0.02767542374,4
AXS-USD,-0.02737528789,2
NEO-USD,0.02729014311,2
XRP-USD,-0.02725779433,6
YOUC-USD,-0.02700259804,5
BAT-USD,-0.02694045631,3
FTT-USD,0.02666705476,4
SOL-USD,0.02579106526,2
ETH-USD,-0.02570917669,5
ALGO-USD,0.02549368689,1
OKB-USD,-0.02534203289,5
HNT-USD,0.02528148717,0
YOUC-USD,-0.02512623126,0
VET-USD,-0.02488252147,6
RUNE-USD,0.02487609461,2
XTZ-USD,-0.02434698919,6
VET-USD,-0.02391033442,2
ATOM-USD,-0.02380311363,3
SOL-USD,0.02380225842,0
FTT-USD,0.02345970679,3
MINA-USD,0.02287342424,3
DASH-USD,-0.02272021753,5
KDA-USD,-0.02239786711,3
XLM-USD,-0.02234879022,5
WBNB-USD,-0.02184126304,4
XLM-USD,-0.02157929644,2
AVAX-USD,-0.02151990555,2
BSV-USD,-0.02131274727,2
ATOM-USD,-0.02123113961,1
NEXO-USD,0.02106437488,4
VET-USD,-0.02082567905,3
KLAY-USD,-0.02071226089,2
AR-USD,-0.02047097865,1
BTCB-USD,-0.0203819012,5
FRAX-USD,0.01988125202,5
UST-USD,-0.01984337558,1
OKB-USD,0.01947604896,3
ROSE-USD,0.01911060028,1
LUNA1-USD,0.01869974134,4
XEM-USD,-0.01865172735,4
KDA-USD,-0.01864447191,6
MKR-USD,-0.01816199063,3
WAVES-USD,-0.01801050403,3
FLOW-USD,0.01776550213,6
DFI-USD,-0.01763774317,6
DASH-USD,-0.01761451035,2
NEO-USD,-0.01740323897,3
AXS-USD,-0.01726900439,1
STX-USD,0.01724976368,1
CELO-USD,0.01703042859,3
ALGO-USD,-0.01665530475,2
STETH-USD,0.01664296641,2
BAT-USD,-0.01603974963,4
STX-USD,0.01581580815,6
LUNA1-USD,-0.01527919773,6
LINK-USD,0.0150617421,3
NEXO-USD,0.0149079328,5
DOT-USD,0.01475501464,5
HEX-USD,0.01442348031,2
SOL-USD,0.01433574081,6
OKB-USD,0.01420149592,6
GRT1-USD,0.01356465868,3
KLAY-USD,-0.01353359382,3
XEM-USD,0.01309226586,3
STX-USD,0.01301297436,4
NEO-USD,0.01284533841,6
TUSD-USD,-0.01279305817,2
LUNA1-USD,0.01278396186,5
XLM-USD,-0.01261769046,6
ENJ-USD,0.01231297942,4
XEM-USD,-0.01229154758,5
MATIC-USD,0.01226737301,4
ALGO-USD,0.01202546374,4
AXS-USD,0.01106504828,6
SCRT-USD,-0.01100785437,3
BAT-USD,0.01096666111,2
LUNA1-USD,0.01031463982,2
MATIC-USD,0.009541739111,5
CVX-USD,-0.009080143883,3
ENJ-USD,-0.008503218499,1
MIOTA-USD,0.008393271545,4
ATOM-USD,-0.008350224209,5
MKR-USD,0.008310607408,6
LEO-USD,0.008259459116,2
FIL-USD,0.008046998419,6
ETH-USD,0.00750450583,2
LEO-USD,0.007475058895,4
ADA-USD,-0.007452131878,3
FTT-USD,0.007442331541,5
MATIC-USD,-0.007131897528,2
XMR-USD,-0.006546732904,5
GRT1-USD,-0.00646504676,2
OKB-USD,-0.006190252866,2
HT-USD,-0.006104818989,3
BTCB-USD,-0.00605201482,2
CAKE-USD,0.005215055494,4
SOL-USD,0.004765345802,3
TONCOIN-USD,0.004475711427,6
QNT-USD,-0.00413653698,2
OKB-USD,-0.003982672305,4
HNT-USD,0.003860433345,4
DFI-USD,0.003709005202,5
FRAX-USD,0.003512299302,2
ENJ-USD,0.003470171297,3
MATIC-USD,-0.003239733968,3
AMP-USD,0.003017958672,4
HT-USD,0.002861245734,2
NEXO-USD,-0.002694526854,6
STETH-USD,0.001832017651,1
LINK-USD,0.001545785759,4
BNB-USD,0.001448690847,6
THETA-USD,0.001181349471,2
LEO-USD,0.001105645342,5
SAND-USD,-0.001099148503,2
ETC-USD,0.0007291592752,5
EGLD-USD,0.0006025036823,6
CAKE-USD,-0.0002308205667,6